,,,,,,,,Play,Play,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,Perf,Perf,Tota,Tota,Tota,,,,,,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,-additional
Rk,Player,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
61,Tyler Dibling,493,2024-2025,18,eng ENG,Southampton,eng Premier League,9,493,5.5,6,3,0,1,0,1,1,0,0,0,128,161,79.5,7,8,9,0,19,2089,503,62,72,86.1,56,67,83.6,8,13,61.5,FWMF,bdcc89ae
62,Danny Welbeck,749,2024-2025,33,eng ENG,Brighton,eng Premier League,9,749,8.3,9,0,0,6,1,7,6,0,0,0,138,169,81.7,9,8,4,0,19,1635,338,86,102,84.3,31,38,81.6,3,3,100.0,FW,ce5143da
63,Dominic Solanke,617,2024-2025,26,eng ENG,Tottenham,eng Premier League,7,617,6.9,7,0,0,2,1,3,2,0,0,0,87,123,70.7,4,9,5,0,19,1185,369,57,75,76.0,21,29,72.4,5,8,62.5,FW,e77dc3b2
64,Jeremy Doku,401,2024-2025,22,be BEL,Manchester City,eng Premier League,7,401,4.5,5,2,1,1,1,2,1,0,0,0,170,212,80.2,8,1,15,1,19,2366,401,113,129,87.6,51,63,81.0,4,5,80.0,FWMF,fffea3e5
65,Abdoulaye Doucouré,565,2024-2025,31,ml MLI,Everton,eng Premier League,8,565,6.3,7,1,1,0,0,0,0,0,0,0,187,231,81.0,7,13,4,0,20,3147,603,85,99,85.9,76,89,85.4,19,24,79.2,MF,02b29014
66,Vitaliy Mykolenko,565,2024-2025,25,ua UKR,Everton,eng Premier League,7,565,6.3,7,0,0,0,0,0,0,0,0,0,184,238,77.3,4,14,5,4,20,2982,1097,89,100,89.0,76,99,76.8,12,25,48.0,DF,30d4a2e5
67,Caleb Okoli,628,2024-2025,23,it ITA,Leicester City,eng Premier League,7,628,7.0,7,0,2,0,0,0,0,0,0,0,332,372,89.2,0,13,0,0,20,5826,2463,146,157,93.0,155,167,92.8,26,41,63.4,DF,8ec109e6
68,Mohammed Kudus,663,2024-2025,23,gh GHA,West Ham,eng Premier League,8,663,7.4,8,0,0,2,0,2,2,0,0,0,167,204,81.9,5,12,6,4,20,2908,482,84,97,86.6,63,68,92.6,17,24,70.8,MFFW,b62878a5
69,Joachim Andersen,513,2024-2025,28,dk DEN,2 Teams,eng Premier League,6,513,5.7,6,0,1,0,0,0,0,0,0,0,315,388,81.2,1,42,2,0,20,6590,2666,99,106,93.4,162,179,90.5,50,93,53.8,DF,e34fc66d
70,Álex Moreno,436,2024-2025,31,es ESP,Nott'ham Forest,eng Premier League,6,436,4.8,6,0,1,0,0,0,0,0,0,0,124,183,67.8,3,10,5,1,21,1848,730,75,87,86.2,41,65,63.1,4,18,22.2,DF,16e9d0ea
71,Guido Rodríguez,688,2024-2025,30,ar ARG,West Ham,eng Premier League,9,688,7.6,9,0,0,0,0,0,0,0,0,0,275,329,83.6,1,26,1,0,21,4683,1290,131,152,86.2,114,128,89.1,24,34,70.6,MF,34e393f2
72,Facundo Buonanotte,551,2024-2025,19,ar ARG,Leicester City,eng Premier League,8,551,6.1,6,2,1,3,2,5,3,0,0,0,170,216,78.7,11,16,7,1,21,2714,613,91,106,85.8,58,68,85.3,13,22,59.1,MFFW,468a7a91
73,Victor Bernth Kristiansen,682,2024-2025,21,dk DEN,Leicester City,eng Premier League,8,682,7.6,8,0,0,0,0,0,0,0,0,0,310,400,77.5,7,25,7,5,21,5222,2089,147,167,88.0,124,154,80.5,29,59,49.2,DF,505486d6
74,Valentino Livramento,530,2024-2025,21,eng ENG,Newcastle Utd,eng Premier League,9,530,5.9,6,3,0,0,0,0,0,0,0,0,220,279,78.9,3,11,2,0,21,3314,983,123,144,85.4,89,102,87.3,7,20,35.0,DF,afed6722
75,Antonee Robinson,810,2024-2025,26,us USA,Fulham,eng Premier League,9,810,9.0,9,0,0,0,2,2,0,0,0,0,334,430,77.7,6,25,12,9,22,6167,2154,142,162,87.7,157,192,81.8,34,57,59.6,DF,289601e6
76,Joe Aribo,482,2024-2025,28,ng NGA,Southampton,eng Premier League,8,482,5.4,5,3,1,1,0,1,1,0,0,0,206,237,86.9,3,9,2,0,22,2790,541,132,144,91.7,64,73,87.7,4,6,66.7,MF,328f7d51
77,Leandro Trossard,490,2024-2025,29,be BEL,Arsenal,eng Premier League,9,490,5.4,6,3,0,2,0,2,2,0,0,0,112,155,72.3,9,7,10,1,22,2116,669,43,57,75.4,52,66,78.8,13,19,68.4,FW,38ceb24a
78,Jurriën Timber,523,2024-2025,23,nl NED,Arsenal,eng Premier League,7,523,5.8,6,1,0,0,1,1,0,0,0,0,167,216,77.3,9,14,4,1,22,2630,822,90,105,85.7,68,87,78.2,7,13,53.8,DF,41034650
79,Leif Davis,810,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,9,810,9.0,9,0,0,0,2,2,0,0,0,0,285,388,73.5,22,17,8,3,22,4898,1885,131,145,90.3,126,154,81.8,23,68,33.8,DF,8574c61f
80,Omari Hutchinson,704,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,8,704,7.8,8,0,0,0,1,1,0,0,0,0,171,228,75.0,7,13,6,3,22,2703,506,88,98,89.8,64,83,77.1,15,20,75.0,MFFW,bd9553e6
81,Christian Nørgaard,603,2024-2025,30,dk DEN,Brentford,eng Premier League,7,603,6.7,7,0,0,1,0,1,1,0,0,0,243,289,84.1,3,20,1,1,22,3883,1123,118,128,92.2,106,124,85.5,10,18,55.6,MF,df0a4c90
82,Emerson Palmieri,683,2024-2025,29,it ITA,West Ham,eng Premier League,9,683,7.6,9,0,0,0,0,0,0,0,0,0,293,359,81.6,7,17,7,4,22,4131,1514,172,189,91.0,101,127,79.5,8,25,32.0,DF,e0bc6fdc
83,Jacob Ramsey,509,2024-2025,23,eng ENG,Aston Villa,eng Premier League,8,509,5.7,5,3,0,0,2,2,0,0,0,0,192,226,85.0,8,11,6,0,23,2455,565,140,152,92.1,43,51,84.3,3,6,50.0,FWMF,1544f145
84,Murillo,810,2024-2025,22,br BRA,Nott'ham Forest,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,292,368,79.3,6,25,2,0,23,5362,2350,132,144,91.7,125,146,85.6,29,64,45.3,DF,1704b0b8
85,Mario Lemina,764,2024-2025,30,ga GAB,Wolves,eng Premier League,9,764,8.5,9,0,0,1,1,2,1,0,0,0,231,284,81.3,4,18,8,3,23,4313,1240,91,111,82.0,110,126,87.3,26,34,76.5,MF,2b471f99
86,Stephy Mavididi,539,2024-2025,26,eng ENG,Leicester City,eng Premier League,9,539,6.0,6,3,0,2,0,2,2,0,0,0,140,193,72.5,8,8,12,1,23,2035,562,70,77,90.9,47,70,67.1,7,14,50.0,FW,30144daa
87,Ben White,585,2024-2025,26,eng ENG,Arsenal,eng Premier League,7,585,6.5,6,1,0,0,1,1,0,0,0,0,230,272,84.6,1,19,4,0,23,3860,1413,113,123,91.9,98,113,86.7,12,25,48.0,DF,35e413f1
88,Jan Bednarek,800,2024-2025,28,pl POL,Southampton,eng Premier League,9,800,8.9,9,0,0,0,0,0,0,0,0,0,691,741,93.3,3,36,0,0,23,11541,4289,308,322,95.7,334,353,94.6,44,55,80.0,DF,4115ce4e
89,Taylor Harwood-Bellis,680,2024-2025,22,eng ENG,Southampton,eng Premier League,9,680,7.6,8,1,0,1,0,1,1,0,0,0,490,558,87.8,6,40,2,0,23,8431,2633,205,221,92.8,254,279,91.0,26,48,54.2,DF,47327321
90,Tomáš Souček,564,2024-2025,29,cz CZE,West Ham,eng Premier League,9,564,6.3,6,3,0,2,0,2,2,0,0,0,164,209,78.5,9,14,4,0,23,2681,718,85,99,85.9,60,76,78.9,16,23,69.6,MF,6613c819
91,Gabriel Magalhães,773,2024-2025,26,br BRA,Arsenal,eng Premier League,9,773,8.6,9,0,0,2,0,2,2,0,0,0,405,460,88.0,2,27,3,0,23,7342,2138,166,173,96.0,209,228,91.7,28,51,54.9,DF,67ac5bb8
92,William Saliba,659,2024-2025,23,fr FRA,Arsenal,eng Premier League,8,659,7.3,8,0,0,0,0,0,0,0,0,0,412,434,94.9,0,26,1,0,23,7309,1953,142,148,95.9,250,259,96.5,17,20,85.0,DF,972aeb2a
93,Sávio,453,2024-2025,20,br BRA,Manchester City,eng Premier League,7,453,5.0,6,1,1,0,2,2,0,0,0,0,232,296,78.4,16,3,25,6,23,3111,660,161,178,90.4,56,76,73.7,7,20,35.0,FWMF,fe6e7156
94,Tyrick Mitchell,760,2024-2025,24,eng ENG,Crystal Palace,eng Premier League,9,760,8.4,9,0,0,0,1,1,0,0,0,0,277,392,70.7,10,19,10,6,24,4359,1789,148,178,83.1,110,153,71.9,13,35,37.1,DFMF,5cbd1eb0
95,Daniel Muñoz,726,2024-2025,28,co COL,Crystal Palace,eng Premier League,9,726,8.1,9,0,0,0,0,0,0,0,0,0,305,392,77.8,9,15,5,4,24,4657,1129,166,196,84.7,122,146,83.6,11,27,40.7,DFMF,778ef829
96,Calvin Bassey,810,2024-2025,24,ng NGA,Fulham,eng Premier League,9,810,9.0,9,0,0,0,0,0,0,0,0,0,499,551,90.6,0,28,0,0,24,9319,3290,185,189,97.9,255,270,94.4,48,72,66.7,DF,a36524bf
97,Kobbie Mainoo,571,2024-2025,19,eng ENG,Manchester Utd,eng Premier League,7,571,6.3,7,0,0,0,0,0,0,0,0,0,255,289,88.2,3,28,4,0,24,3476,1047,161,174,92.5,65,75,86.7,13,14,92.9,MF,c6220452
98,Kalvin Phillips,461,2024-2025,28,eng ENG,Ipswich Town,eng Premier League,6,461,5.1,6,0,1,0,0,0,0,0,0,0,183,232,78.9,2,27,4,1,25,3534,1073,75,86,87.2,78,96,81.3,29,45,64.4,MF,4f565d77
99,Kenny Tete,796,2024-2025,28,nl NED,Fulham,eng Premier League,9,796,8.8,9,0,0,0,0,0,0,0,0,0,359,446,80.5,2,35,5,3,25,5831,1735,177,194,91.2,139,172,80.8,29,49,59.2,DF,77d7c96f
100,Vitaly Janelt,723,2024-2025,26,de GER,Brentford,eng Premier League,9,723,8.0,9,0,0,0,2,2,0,0,0,0,290,339,85.5,6,26,10,4,25,5076,1487,140,153,91.5,121,135,89.6,25,40,62.5,MF,8449d35e
101,Kristoffer Ajer,636,2024-2025,26,no NOR,Brentford,eng Premier League,8,636,7.1,8,0,0,0,0,0,0,0,0,0,236,300,78.7,2,20,2,2,25,3792,1412,125,140,89.3,89,117,76.1,15,24,62.5,DF,a8c0acb7
102,Mateus Fernandes,528,2024-2025,20,pt POR,Southampton,eng Premier League,8,528,5.9,6,2,0,0,1,1,0,0,0,0,196,241,81.3,6,16,2,0,25,2862,595,111,132,84.1,62,74,83.8,11,17,64.7,MF,ef491564
103,Brennan Johnson,693,2024-2025,23,wls WAL,Tottenham,eng Premier League,9,693,7.7,8,1,0,3,0,3,3,0,0,0,146,201,72.6,9,9,16,3,26,1867,557,88,107,82.2,48,62,77.4,3,7,42.9,FW,0cd31129
